iter	Passed	Remaining
806	1621	387
807	1622	385
808	1625	383
809	1627	381
810	1628	379
811	1629	377
812	1630	375
813	1631	372
814	1632	370
815	1633	368
816	1634	366
817	1635	363
818	1636	361
819	1637	359
820	1641	357
821	1642	355
822	1643	353
823	1644	351
824	1646	349
825	1649	347
826	1650	345
827	1651	343
828	1652	340
829	1653	338
830	1655	336
831	1656	334
832	1658	332
833	1659	330
834	1660	328
835	1661	325
836	1662	323
837	1663	321
838	1664	319
839	1666	317
840	1669	315
841	1671	313
842	1671	311
843	1673	309
844	1674	307
845	1675	305
846	1676	302
847	1678	300
848	1679	298
849	1680	296
850	1681	294
851	1685	292
852	1686	290
853	1687	288
854	1689	286
855	1690	284
856	1691	282
857	1692	280
858	1694	278
859	1695	275
860	1696	273
861	1697	271
862	1701	270
863	1703	268
864	1704	265
865	1705	263
866	1706	261
867	1707	259
868	1708	257
869	1709	255
870	1710	253
871	1711	251
872	1712	249
873	1714	247
874	1715	245
875	1716	242
876	1717	240
877	1718	238
878	1719	236
879	1720	234
880	1722	232
881	1723	230
882	1724	228
883	1725	226
884	1729	224
885	1731	222
886	1732	220
887	1733	218
888	1734	216
889	1735	214
890	1737	212
891	1738	210
892	1739	208
893	1740	206
894	1744	204
895	1746	202
896	1747	200
897	1748	198
898	1749	196
899	1750	194
900	1751	192
901	1752	190
902	1753	188
903	1754	186
904	1755	184
905	1760	182
906	1761	180
907	1762	178
908	1763	176
909	1764	174
910	1765	172
911	1766	170
912	1767	168
913	1768	166
914	1769	164
915	1770	162
916	1771	160
917	1775	158
918	1777	156
919	1778	154
920	1779	152
921	1780	150
922	1781	148
923	1782	146
924	1783	144
925	1784	142
926	1785	140
927	1787	138
928	1788	136
929	1789	134
930	1790	132
931	1791	130
932	1792	128
933	1793	126
934	1794	124
935	1795	122
936	1796	120
937	1797	118
938	1799	116
939	1802	115
940	1803	113
941	1805	111
942	1808	109
943	1809	107
944	1810	105
945	1811	103
946	1812	101
947	1813	99
948	1814	97
949	1818	95
